Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score
1,024690d40ccfb8b4,open,TK Noodle,6930 65th St,Sacramento,95823,California,United States,Chinese,$,87,0,9164226000,,,,Chinese,1.74
2,0becf96faad5aac4,open,Dragon Chinese Restaurant,827 W Constance Rd,Suffolk,23434,Virginia,United States,Chinese,$$,77,1992,7579251818,reel.contactus@gmail.com,,,Chinese,1.41
3,0ff1b540066b7178,open,Chan's,201 N 7th St,Allentown,18102,Pennsylvania,United States,Chinese,$$,79,2006,6104393115,,Sinkuen Chan,,Chinese,1.7
4,159cba763e628c11,open,Tasty Goody,7907 Atlantic Ave,Cudahy,90201,California,United States,Chinese,$,48,2004,3237718889,,Moo Park,Owner,Chinese,1.77
5,1995b7c420a2b868,open,Panda Kitchen,107 W Grand Ave,Hillsboro,67063,Kansas,United States,Chinese,$,57,2011,6208774333,,,,Chinese,1.46
6,1b52f07a931ebf39,open,Asian Chao,6020 E 82nd St,Indianapolis,46250,Indiana,United States,Chinese,$,45,2010,3179130295,,Mimg LI,Operations,Chinese,1.49
7,1bff7cedfbee8646,open,Number 1 Kitchen,1246 Abbott Rd,Lackawanna,14218,New York,United States,Chinese,$,90,2004,7168236868,,Zhao Chen,General,Chinese,2.2
8,1da254969fc4deac,open,Xian Sushi and Noodle,200 Springtown Way,San Marcos,78666,Texas,United States,Japanese,$,48,0,5126679399,xiansanmarcos@gmail.com,,,Chinese,1.4
9,1da3c59035393077,open,King's Wok,208 S Main St,Anna,62906,Illinois,United States,Chinese,$,81,1996,6188337552,,Paul Wing,,Chinese,1.91
10,204bec03a58f2e0a,possibly closed,Jing Chin Chen's Garden,143 N 4th Ave,Paden City,26159,West Virginia,United States,Chinese,$,0,2010,3043378899,,Jng Chen,Owner,Chinese,1.81
11,2273aabd51c4a008,open,New No 1 Panda Kitchen,524 Niagara St,Buffalo,14201,New York,United States,Chinese,$$$,88,0,7168521447,,,,Chinese,1.56
12,23162ca0edcd10e3,open,Imperial Wok,884 Howard Ave,New Haven,06519,Connecticut,United States,Chinese,$,90,1996,2037766699,,Kevin Young,,Chinese,1.56
13,2432b90a6e5c8b2f,open,Hunan Chinese Restaurant,2727 W 2nd St,Hastings,68901,Nebraska,United States,Chinese,$$,29,1986,4024634040,,Chiayen Wu,General,Chinese,1.56
14,2814b6d4224b0bde,open,China Dragon,1509 Madison Ave,Fort Atkinson,53538,Wisconsin,United States,Chinese,$,89,2007,9205683466,,,,Chinese,1.63
15,286afd3974fe6eef,open,Lucy's Chinese Food,3330 S Campbell Ave,Springfield,65807,Missouri,United States,Chinese,$,74,1980,4178825383,,John Gregoroski,Owner,Chinese,1.89
16,2fa87560eb3960a6,open,Golden Dragon Chinese Restaurant,3250 Retail Dr,Carson City,89706,Nevada,United States,Chinese,$,88,2007,7758828988,,Jen Chen,,Chinese,1.91
17,327be22878bc2aa5,open,Pa' Los Chinos Food Truck,5805 W Irlo Bronson Memorial Hwy,Kissimmee,34746,Florida,United States,Chinese,$,57,0,3214429163,,,,Chinese,1.5
18,33c4cbdf0ad5c1d9,open,Bao Shi Yi,9715 Bellaire Blvd,Houston,77036,Texas,United States,Chinese,$,64,2019,8329257913,baoshiyi180@gmail.com,,,Chinese,1.86
19,34bd6b6b873c80f5,open,Cha House Raleigh,3001 Hillsborough St,Raleigh,27607,North Carolina,United States,Taiwanese,$,71,2019,9195941980,raleighnc@chahouseusa.com,,,Chinese,1.43
20,3725468952a24693,open,Imperial Wok,1883 W Market St,Akron,44313,Ohio,United States,Chinese,$,64,2007,3308657726,,Mei Yan,,Chinese,1.6
21,3a49acf0bdfd20ef,open,Asia,4132 Peters Rd,Harvey,70058,Louisiana,United States,Chinese,$$,79,0,5043667711,,,,Chinese,1.53
22,3a5f1b98fc050cb7,open,Ika Ramen and Izakaya,6109 Maple St,Omaha,68104,Nebraska,United States,Japanese,$,49,2015,4025582482,info@ikaramen.com,,,Chinese,1.5
23,3abc0d514d273220,open,China House,147 E Church St,Batesburg-Leesville,29070,South Carolina,United States,Chinese,$$,58,2007,8035329088,,,,Chinese,1.6
24,3b4be004bfac1d7f,open,Jade Express,1437 E Dixie Dr,Asheboro,27203,North Carolina,United States,Chinese,$,56,2014,3363187677,,Mark W,General,Chinese,1.89
25,41de52ab8a2f6d63,open,Dragon China,4211 Hoover Ave,Dayton,45417,Ohio,United States,Chinese,$$,86,2002,9372688388,,Ya Q Ni,,Chinese,1.56
26,438b4ec6d26f1664,open,Golden Buddha,8000 Preston Hwy,Louisville,40219,Kentucky,United States,Chinese,$,38,1983,5029687700,,Yiu Chan,Owner,Chinese,1.84
27,43bf97e6b58079a3,possibly closed,Mark Pi's Express,1367 Ety Rd NW,Lancaster,43130,Ohio,United States,Chinese,$,0,2009,7406812088,,,,Chinese,1.53
28,442a037cf87b454c,open,China King,849 N Pine St,Gramercy,70052,Louisiana,United States,Chinese,$,45,2004,2258692000,,Rong Lu,Owner,Chinese,1.49
29,4562662c650e72c3,open,Dragon China,2039 E Main St,Springfield,45503,Ohio,United States,Chinese,$,50,0,9373253688,info@dragonchinaspringfield.com,,,Chinese,1.79
30,4b360ab103823618,open,Vanessa's Dumpling House,118 Eldridge St,New York,10002,New York,United States,Chinese,$,56,1999,2126258008,,,,Chinese,1.89
31,55304ad2ef87830a,open,City Wok,72840 CA-111,Palm Desert,92260,California,United States,Chinese,$,55,0,7603411511,,,,Chinese,1.43
32,56918d3b604720ac,open,Six Ping,3645 Cypress Creek Pkwy,Houston,77068,Texas,United States,Chinese,$,78,0,2813978887,,Yen Ting Chang,General,Chinese,1.53
33,572ad4d531473d05,open,Chan's Chinese Restaurant,2000 N 6th St,Harrisburg,17102,Pennsylvania,United States,Chinese,$,83,2001,7172364340,,Yuk Chen,,Chinese,1.56
34,5c8505fd93d1c9f5,open,Foodland Express,61 N 57th St,Philadelphia,19139,Pennsylvania,United States,Chinese,$,92,0,2157481742,,,,Chinese,1.67
35,5f65380d688173c3,open,First Chinese BBQ,5310 E Belknap St,Haltom City,76117,Texas,United States,Chinese,$$,79,2008,8178341888,,,,Chinese,1.63
36,60404bbbc879896a,open,East Buffet & Restaurant,4207 Main St,Flushing,11355,New York,United States,Chinese,$$,63,2000,7183536333,,Alexander C Hou,,Chinese,1.6
37,67eee1bc97933e0c,open,Dragon China,723 W Coshocton St,Johnstown,43031,Ohio,United States,Chinese,$,86,2001,7409665928,,Jian Song Huang,Owner,Chinese,1.49
