Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score
4403,01721519dc9db1d3,open,Huong's Vietnamese Restaurant,267 St John St,Portland,04102,Maine,United States,"Vietnamese, Thai",$$,25,0,2077752344,huongrestaurantportland@gmail.com,,,Chinese,0.7
4404,025d04cb8dac3468,possibly closed,Banh Mi Station,3981 Amboy Rd,Staten Island,10308,New York,United States,,,0,0,,,,,Chinese,0.56
4405,18b413882df772fe,open,Charming Thai Restaurant,232 Spielman Hwy,Burlington,06013,Connecticut,United States,Thai,,97,0,8604042209,charmingthai232@gmail.com,,,Chinese,0.73
4406,215843df938ffdb6,open,Chu Minh Tofu and Vegan Deli,1043 S Jackson St,Seattle,98104,Washington,United States,Vietnamese,$,31,2011,2067236095,chuminhtofu@gmail.com,,,Chinese,1.01
4407,24be7a19f08ecc42,open,Asian Thai,201 W Northland Ave,Appleton,54911,Wisconsin,United States,Thai,$$,80,0,9207346888,,,,Chinese,0.7
4408,1dde8e1b1b303c89,open,Buckhead Soul Express,2628 Piedmont Rd NE,Atlanta,30324,Georgia,United States,American,$$,44,0,7708660083,,,,Chinese,0.84
4409,f7d0e539a08eb21e,open,Love Eat Thai,144 E Main St,Brevard,28712,North Carolina,United States,"Vietnamese, Thai",$$,53,0,8288839299,,,,Chinese,0.81
4410,2a786963ae12060c,open,Narai Asian Cuisine,320 4th Ave E,Olympia,98501,Washington,United States,Thai,$$,48,2009,3607541332,,Bradley Lampo,Owner,Chinese,0.73
4411,30b4f77ac759f24c,open,Que Viet,570 4th St,San Francisco,94107,California,United States,Vietnamese,$$,17,0,4153856167,,,,Chinese,0.56
4412,320cb5cc1fa518b6,open,Big Boss Banh Mi,1801 S Dairy Ashford Rd,Houston,77077,Texas,United States,Vietnamese,$,71,0,8322953619,,,,Chinese,0.99
4413,363dfa0550cc8fa1,open,Thai Zapp Restaurant,145 Market St,Flowood,39232,Mississippi,United States,Thai,$$$,58,0,7695244589,thaizappms@gmail.com,,,Chinese,0.59
4414,45389ddde8ed6491,open,Bao Bao Banh Mi,1223 Grand West Blvd,Katy,77449,Texas,United States,Vietnamese,,84,0,3463879809,baobaobanhmi.energyc@gmail.com,,,Chinese,0.73
4415,477d050b2d991124,open,Pho Zabpinto,13551 SE 145th Ave,Happy Valley,97015,Oregon,United States,Vietnamese,$$$,10,0,5038415458,,,,Chinese,0.59
4416,4daff40cd5ef5f0b,open,Thai Wei,2731 FM 1463 Rd,Katy,77494,Texas,United States,Thai,$,40,0,2813945555,,,,Chinese,0.73
4417,4fae046e83f00abd,open,Vpho,930 W Hamilton Ave,Campbell,95008,California,United States,Vietnamese,$$,40,0,4083782234,hello@v-pho.com,,,Chinese,0.44
4418,54269ad6c22fc105,open,Wok to Walk,570 8th Ave,New York,10018,New York,United States,Thai,$,58,2004,9172658791,info@woktowalk.com,,,Chinese,1.13
4419,58e17304a0b2dc99,open,Thai Square Sushi & Bar,200 S Collins Rd,Sunnyvale,75182,Texas,United States,Thai,$$,69,0,9728509745,thaisquaresunnyvale@gmail.com,,,Chinese,0.67
4420,5a62bc93d7113436,open,Pho Mama,1640 Decoto Rd,Union City,94587,California,United States,Vietnamese,$$,44,0,5109520118,,,,Chinese,0.41
4421,6d841efd380e10e0,open,Boba Queen Tea and Thai Sweets,2107 W Davis St,Conroe,77304,Texas,United States,Thai,$$$,48,0,9369660154,twosonsgroupllc2021@gmail.com,,,Chinese,0.47
4422,7349684839d6eb9f,open,Saiga Vietnamese Eatery,2233 N Tustin St,Orange,92865,California,United States,Vietnamese,$$,98,0,6572829475,info@saigaeatery.com,,,Chinese,0.73
4423,75a9c859dc072fdb,open,Little Thai Kitchen,185 E 12300 S,Draper,84020,Utah,United States,Thai,,54,0,8019008858,littlethaikitchenutah@gmail.com,,,Chinese,0.56
4424,776bd8ace66337c5,open,Lemongrass Grill Thai Restaurant and Bar,20 N Main St,Munroe Falls,44262,Ohio,United States,Thai,$,53,0,2347066488,,,,Chinese,1.1
