Snowball ID,BRIZO_ID,STATUS,ESTABLISHMENT_NAME,STREET,CITY,ZIPCODE,STATE,COUNTRY,CUISINES_REGIONAL,PRICE_RANGE,VITALITY_SCORE,ESTABLISHED,ESTABLISHMENT_PHONE,EMAIL,FULL_NAME,ROLE_TITLE,Language Preference,Lead Score
18252,004a0c626f01e229,open,Wrap n roll,121 Eubank Blvd NE,Albuquerque,87123,New Mexico,United States,Vietnamese,$$,75,0,5059339681,,,,Unknown,1.16
18253,004aa1f9dfeefdf4,open,Million Dollar Thai,42-06 30th Ave,Astoria,11103,New York,United States,Thai,$$$,20,0,9174515356,,,,Unknown,0.67
18254,017d662a2df2dddb,open,Napa Thai,24 N Main St,Lexington,24450,Virginia,United States,Thai,$$,90,0,5406002115,,,,Unknown,0.84
18255,026616d288f51323,open,Ka Cafe,1925 W Foster Ave,Chicago,60640,Illinois,United States,Thai,$$,19,0,8722039191,,,,Unknown,0.7
18256,e663500003ecf2fa,open,Thai fusion 2go,4425 Main St,Springfield,97478,Oregon,United States,Thai,$$$,60,0,5416547248,gelacio1986@hotmail.com,,,Unknown,0.73
18257,04f2314d1622b2f9,open,Sizzling Wok Thai and Chinese Food,825 S Mt Olive St,Siloam Springs,72761,Arkansas,United States,Thai,,3,0,4792281213,,,,Unknown,0.79
18258,06a42574a74c0bd4,open,Pho 414,8340 W Appleton Ave,Milwaukee,53218,Wisconsin,United States,Thai,$$,36,0,4144889708,,,,Unknown,0.94
18259,07416d5c351e2e46,open,Pho My | Union Grove Pho my 2,8100 Woodway Dr,Woodway,76712,Texas,United States,Vietnamese,,66,0,2542948608,,,,Unknown,0.7
18260,07dbaafe776e4c76,open,Catering by Thai Heritage and Vegan,3804 Central Ave SE,Albuquerque,87108,New Mexico,United States,Thai,$$$,6,0,5052002290,,,,Unknown,0.94
18261,080c7f6e30972da6,open,BEAU THAI,2486 E Colorado Blvd,Pasadena,91107,California,United States,Thai,$$$,53,0,6266963645,permponzapllc@gmail.com,,,Unknown,0.44
18262,098d7908df2f71bf,open,GAI Chicken & Rice,843 Cooper Landing Rd,Cherry Hill,08002,New Jersey,United States,Thai,$,74,0,8563304926,info@gainyc.com,,,Unknown,1.13
18263,0a2bd45d5ca3f1ed,open,Kham yum yum,4408 Interstate Dr E,Amarillo,79103,Texas,United States,"Laotian, Thai",$$$,22,0,8065704760,,,,Unknown,0.87
18264,0a4583e3d48d968e,open,Thai Bird,203 8th St,San Antonio,78215,Texas,United States,Thai,,73,0,3108820538,info@thaibirdrestaurant.com,,,Unknown,0.91
18265,0b1381027f5b38a5,open,Boba Bae,1981 E Mason St,Green Bay,54302,Wisconsin,United States,,$$$,0,0,9205440747,,,,Unknown,0.87
18266,0b79d78ee037d99a,open,Pho Lexington,70 W 39th St,New York,10018,New York,United States,,$$$,1,0,9178221228,,,,Unknown,0.44
18267,0b8aa5fe7745b440,open,Monsoon,4218 Piedmont Ave,Oakland,94611,California,United States,Vietnamese,$$,28,0,5108174032,,Sandi C,Owner,Unknown,0.59
18268,4fcd407fcf4ba757,open,Thai At US Express,3235 Olivet Church Rd,Paducah,42001,Kentucky,United States,Thai,,61,0,2705345466,,,,Unknown,0.79
18269,0d580f717ef819a3,open,Aroi Thai Carlsbad,3050 Pio Pico Dr,Carlsbad,92008,California,United States,Thai,$$$,68,0,7607303345,ning_import@hotmail.com,,,Unknown,0.44
18270,0e8ae58d464877b5,open,7 Sisters Vietnamese Cuisine,774 Black Horse Pike,Pleasantville,08232,New Jersey,United States,Vietnamese,,67,0,6092410638,,,,Unknown,1
18271,0eab48ea38bc8ab6,open,Pho Island,1200 Jericho Tpke,New Hyde Park,11040,New York,United States,Vietnamese,$$,42,0,5167800550,,,,Unknown,0.44
18272,0ecd8d22fc3462f0,open,Narm Pouh Thai,2415 SE 35th Pl,Portland,97214,Oregon,United States,Thai,,17,0,4259058716,,,,Unknown,0.56
18273,5f86402a2bf882ce,open,Hanco's,354 7th Ave,Brooklyn,11215,New York,United States,Vietnamese,$$,70,2005,7184998081,hancosny@gmail.com,,,Unknown,0.84
18274,eb39cdfcc5d47eef,open,Gluten Free Thai By Cashew,517 Queen Anne Ave N,Seattle,98109,Washington,United States,Thai,$$,5,0,2069547731,,,,Unknown,0.5
18275,0f425598793e4578,possibly closed,Dan Han Banh Mi,4145 S Grand Canyon Dr,Las Vegas,89147,Nevada,United States,,,0,0,,,,,Unknown,0.7
18276,0fb504c8a78f99fc,open,Pho Royal,12240 Industry Blvd,Jackson,95642,California,United States,Vietnamese,$$,30,0,9166998307,phoroyaljackson@gmail.com,,,Unknown,0.73
18277,0fd568b039b15d06,open,Banh Mi XO,9003 35th Ave SW,Seattle,98126,Washington,United States,Vietnamese,$$$,51,0,2064687255,,,,Unknown,0.44
18278,10357619964b8280,open,Sabai Jai,2056 Harrison Blvd,Ogden,84401,Utah,United States,Thai,,79,0,8017347355,,,,Unknown,0.87
18279,10f562c223bcdefa,open,Coffee 48,1310 E Broadway Rd,Tempe,85282,Arizona,United States,Vietnamese,$,65,0,6028149072,,,,Unknown,1.13
