Snowball Map,ID,Name,Opening Hours,Street,City/Town,State/Province Code,Zip/Postal Code,Country,First Name,Last Name,Contact Email,Contact Phone,Established,Estimated Employees,Business Phone,Contact Count,Most Common Email,Cuisines (Regional),Price Range
47670,0044b5890d11de03,Happy Lamb Hot Pot,Daily 11:30am-11pm,999 36 St NE,Calgary,AB,T2A 7X6,Canada,,,,,,,(403) 475-6889,0,,Chinese,$$
47671,00691e3fc2a74e49,Golden Cottage,"Mon Closed, Tue-Sun 10am-9pm",5021 50 St,Innisfail,AB,T4G 1S8,Canada,,,,,,,(403) 227-2888,0,,Chinese,$
47672,010778dcde1b1193,Wow Bao,,11729 Jasper Ave NW,Edmonton,AB,T5K 0N4,Canada,,,,,,,(780) 244-6456,0,,Chinese,$
47673,0120b23eac7dff16,Lighthouse Japanese Restaurant,"Mon-Sat 11:30am-2pm 4:30pm-9pm, Sun Closed",708 3 Ave S,Lethbridge,AB,T1J 0H6,Canada,Ryan,Squire,ryan@lighthousesushi.com,,,,(403) 328-4828,1,ryan@lighthousesushi.com,Japanese,$$
47674,012398efd2f6b7fa,Yoshi Japanese Restaurant,"Mon Closed, Tue-Sun Noon-9pm",9612 Franklin Ave,Wood Buffalo,AB,T9H 2J9,Canada,Peter,Cai,,,,,(780) 790-3440,1,,American; Japanese,$$
47675,0144c0ae20f45b50,Aroma Dim Sum,"Mon 11am-9pm, Tue Closed, Wed-Fri 11am-9pm, Sat-Sun 10am-9pm",5149 Country Hills Blvd NW,Calgary,AB,T3A 5K8,Canada,,,,,,,(587) 352-6618,0,,Chinese,$$
47676,0195cfdcc892842c,Zab der,"Mon 4pm-9pm, Tue Closed, Wed 4pm-9pm, Thu Noon-9pm, Fri Noon-9:30pm, Sat 4pm-9:30pm, Sun 4pm-9pm",936 Northmount Dr NW,Calgary,AB,T2L 0B2,Canada,,,zabderyyc@gmail.com,,,,(587) 351-3322,0,zabderyyc@gmail.com,Japanese; Thai,$$
47677,01b19643fff3a162,The Cajun House,"Mon-Sat 11:30am-9pm, Sun 5pm-8pm",7 St Anne St,St Albert,AB,T8N 2X4,Canada,,,,,,,(780) 460-8772,0,,Creole; Cajun,$$
47678,020ebb7a93b5f3e4,The Rose & Thistle Pub,"Mon-Wed Closed, Thu 5pm-Midnight, Fri-Sat 5pm-2am, Sun Closed",9812 113 St,Fairview,AB,T0H 1L0,Canada,,,,,,,(780) 835-5100,0,,Mexican; Chinese,$$$
47679,02449a28ecb55602,Quatro Asian Bistro,"Mon-Wed 11am-9:30pm, Thu Closed, Fri-Sun 11am-9:30pm",731 Railway Ave,Canmore,AB,T1W 1P2,Canada,Mae,Chiong,,,,,(403) 675-9262,1,kwenfoods@gmail.com,Singaporean; Filipino; Japanese; Chinese; Thai,$$
